ruolo,nome,squadra,qt_fanta,ia,fascia_o_valore,note,sos,accoppiata,fv,pg,media,fmedia,gol,ass,amm,gol_subiti,p_med_aste,p_stat,p_gol_m,tr_media,tr_gol
D,Ismajli,Torino,7,68.81,Quarta,Infortuni,Mod.,Juventus Lazio Lecce,0.5433150708616321,24,5.92,5.9,0,2,5,,0.7,3.2712321272740295,0,-1,-1
D,Badiashile,Napoli,7,68.81,jolly,Scommessa,,Roma Bologna Frosinone,,,,,,,,,1.975, Prezzo N.D.,,,
D,Sutalo J.,Lazio,7,68.81,jolly,Scommessa,,Roma Genoa Torino,,,,,,,,,0.925, Prezzo N.D.,,,
D,Belghali,Torino,7,68.81,Quarta,Bonus,Mod.,Juventus Lazio Lecce,,,,,,,,,1.35, Prezzo N.D.,,,
D,Sugawara,Cagliari,6,66.78,Scommessa,,,Atalanta Fiorentina Venezia,,,,,,,,,0.475, Prezzo N.D.,,,
D,Kolasinac,Atalanta,6,66.78,Quarta,Mod.,Infortuni,Frosinone Bologna Cagliari,0.5140619755003885,17,6.03,5.94,0,0,3,,0.65,2.5746794042936956,0,-1,-1
D,Bellanova,Atalanta,6,66.78,jolly,Bonus,Mod.,Frosinone Bologna Cagliari,0.5383593983699345,22,5.82,5.82,0,1,2,,2.475,2.696373046735818,0,-1,-1
D,Bernasconi,Atalanta,6,66.78,Terza,Scommessa,Mod.,Frosinone Bologna Cagliari,0.556778638507684,22,6.09,6.16,0,3,3,,4.45,2.7886258109657356,0,1,1
D,Heggem,Bologna,6,66.78,titolare,Mod.,,Atalanta Lecce Napoli,0.5353811050711024,25,5.84,5.8,0,0,0,,1.1,2.681456264748616,0,1,1
D,Holm,Bologna,6,66.78,jolly,Bonus,Infortuni,Atalanta Lecce Napoli,0.548133048204126,16,6.09,6.44,1,4,1,,0.75,2.7453243719303653,1.8314703353396389,1,-1
D,Kaiki,Como,6,66.78,jolly,,,Fiorentina Frosinone Genoa,0. N.D,,,,,,,,2.375, Prezzo N.D.,,,
D,Valle,Como,6,66.78,Terza,Bonus,Jolly,Fiorentina Frosinone Genoa,0.6073260684819534,26,6.06,6.23,1,3,3,,2.475,3.0417926139918636,1.8314703353396389,1,1
D,Viery,Fiorentina,6,66.78,jolly,,,Cagliari Como Lazio,0. N.D,,,,,,,,1, Prezzo N.D.,,,
D,Monterisi,Frosinone,6,66.78,titolare,,,Atalanta Como Napoli,0. N.D,,,,,,,,0.875, Prezzo N.D.,,,
D,Oyono A.,Frosinone,6,66.78,Quarta,Bonus,,Atalanta Como Napoli,0. N.D,,,,,,,,0.6, Prezzo N.D.,,,
D,Marcandalli,Genoa,6,66.78,Quarta,Scommessa,Mod.,Juventus Bologna Como,0.5786756220562326,31,5.87,5.84,0,1,4,,1.45,2.8982968530686404,0,1,-1
D,Pavard,Inter,6,66.78,jolly,,,Milan Sassuolo Juventus,0.472389922927261,1,6.5,6.5,0,0,0,,0.975,2.3659649289811866,0,1,-1
D,Carlos Augusto,Inter,6,66.78,jolly,,Bonus,Milan Sassuolo Juventus,0.5983193887790844,28,6.12,6.16,1,1,6,,2.175,2.996682658700044,1.8314703353396389,-1,-1
D,Romagnoli,Lazio,6,66.78,jolly,Mod.,Cartellini,Roma Genoa Torino,0.5583948746211078,32,6.03,5.92,0,0,5,,0.825,2.7967207295398184,0,1,-1
D,Pedraza,Lazio,6,66.78,Quarta,Scommessa,Jolly,Roma Genoa Torino,0. N.D,,,,,,,,1, Prezzo N.D.,,,
D,Marusic,Lazio,6,66.78,jolly,Mod.,Infortuni,Roma Genoa Torino,0.6124510175823129,33,5.86,5.97,1,2,1,,0.825,3.0674609215610142,1.8314703353396389,-1,-1
D,Veiga D.,Lecce,6,66.78,titolare,Inaffidabile,,Parma Bologna Fiorentina,0.5738811092462237,36,5.82,5.69,0,0,9,,0.725,2.8742835356597114,0,-1,-1
D,Gallo,Lecce,6,66.78,Quarta,Titolare,Bonus,Parma Bologna Fiorentina,0.6270333209062078,37,5.95,5.99,0,3,3,,1.125,3.1404963877587417,0,1,-1
D,Tomori,Milan,6,66.78,Scommessa,Infortuni,Mod.,Inter Parma Cagliari,0.5539252943092114,32,5.97,5.88,0,1,6,,0.625,2.7743348365476854,0,1,-1
D,Beukema,Napoli,6,66.78,Scommessa,Mod.,Jolly,Roma Bologna Frosinone,0.6047949359357462,22,5.93,6.16,2,0,2,,0.825,3.0291154366341844,3.6629406706792778,1,1
D,Buongiorno,Napoli,6,66.78,jolly,Mod.,Infortuni,Roma Bologna Frosinone,0.5901374155213327,32,5.89,5.88,0,1,3,,1.1,2.955703245638595,0,-1,-1
