ruolo,nome,squadra,qt_a,and_med,and_gol,rating_fv,s1_pg,s1_mv,s1_mf,s1_gf,s1_rc,s1_rpiu,s1_rmeno,s1_ass,s1_asf,s1_amm,s1_esp,s1_au,s2_pg,s2_mv,s2_mf,s2_gf,s2_rc,s2_rpiu,s2_rmeno,s2_ass,s2_asf,s2_amm,s2_esp,s2_au
D,Bernasconi,Atalanta,6,1,1,0.556778638507684,22,6.09,6.16,0,0,0,0,3,,3,0,0,,,,,,,,,,,,
D,Heggem,Bologna,6,1,1,0.5353811050711024,25,5.84,5.8,0,0,0,0,0,,0,1,0,,,,,,,,,,,,
D,Zortea,Bologna,7,-1,-1,0.5759241041540493,28,5.86,5.89,0,0,0,0,2,,2,0,0,35,6.07,6.6,6,0,0,0,3,,3,0,0
D,Valle,Como,6,1,1,0.6073260684819534,26,6.06,6.23,1,0,0,0,3,,3,0,0,13,5.81,5.73,0,0,0,0,2,,2,0,0
D,Marcandalli,Genoa,6,1,-1,0.5786756220562326,31,5.87,5.84,0,0,0,0,1,,4,0,0,8,5.88,5.75,0,0,0,0,2,,2,0,0
D,Tavares N.,Lazio,7,-1,-1,0.5239855707808312,22,5.91,5.8,0,0,0,0,0,,5,0,0,23,6.28,6.5,0,0,0,0,2,,2,1,0
D,Marusic,Lazio,6,-1,-1,0.6124510175823129,33,5.86,5.97,1,0,0,0,2,,1,1,0,31,5.85,6.16,4,0,0,0,1,,1,0,1
D,Gallo,Lecce,6,1,-1,0.6270333209062078,37,5.95,5.99,0,0,0,0,3,,3,0,0,31,5.79,5.65,0,0,0,0,3,,3,1,2
D,Beukema,Napoli,6,1,1,0.6047949359357462,22,5.93,6.16,2,0,0,0,0,,2,0,0,34,5.93,5.94,0,0,0,0,1,,1,0,0
,Circati,,,1,1,False,31,5.92,5.92,1,0,0,0,0,,6,0,0,6,5.83,5.75,0,0,0,0,1,,1,0,0
D,Comuzzo,Torino,8,-1,-1,0.5705622934060521,24,5.75,5.75,1,0,0,0,0,,2,0,1,28,5.91,5.93,1,0,0,0,5,,5,0,0
D,Kamara H.,Udinese,9,-1,-1,0.5518439251248485,26,5.88,5.87,0,0,0,0,2,,5,0,0,30,5.93,6.03,1,0,0,0,6,,6,1,0
D,Bella-Kotchap,Venezia,5,1,1,0.5082907053449903,18,5.83,5.75,0,0,0,0,0,,3,0,0,,,,,,,,,,,,
D,Kofler,Cagliari,5,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Bracaglia,Frosinone,7,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Oyono A.,Frosinone,6,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Pedraza,Lazio,6,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Moreno M.,Venezia,4,,,0. N.D,,,,,,,,,,,,,3,5.67,5.67,0,0,0,0,0,,0,0,0
D,Haps,Venezia,5,,,0. N.D,,,,,,,,,,,,,22,5.86,5.98,1,0,0,0,3,,3,0,0
D,Kolasinac,Atalanta,6,-1,-1,0.5140619755003885,17,6.03,5.94,0,0,0,0,0,,3,0,0,23,6.13,5.98,0,0,0,0,7,,7,0,1
D,Vitik,Bologna,4,1,1,0.5145036198301562,18,5.94,5.86,0,0,0,0,0,,3,0,0,,,,,,,,,,,,
D,Holm,Bologna,6,1,-1,0.548133048204126,16,6.09,6.44,1,0,0,0,4,,1,1,0,16,5.94,6.12,1,0,0,0,3,,3,0,0
D,Zè Pedro,Cagliari,5,1,1,0.5149975072069961,22,5.77,5.68,0,0,0,0,1,,6,0,0,,,,,,,,,,,,
D,Kempf,Como,5,1,1,0.7123572797941041,29,6.12,6.52,4,0,0,0,1,,3,0,0,31,5.85,5.76,0,0,0,0,4,,4,1,0
D,Parisi,Fiorentina,4,-1,-1,0.5642612543902804,23,6.02,5.98,1,0,0,0,1,,6,0,1,20,6,6.22,2,0,0,0,3,,3,0,0
,Martin,,,-1,1,False,29,5.97,6.1,1,1,0,1,5,,2,0,0,36,6.17,6.32,0,0,0,0,5,,5,0,0
D,Kelly L.,Juventus,5,1,1,0.6385630488574098,35,6.01,6.07,1,0,0,0,1,,4,0,0,12,5.67,5.62,0,0,0,0,1,,1,0,0
D,Gaspar K.,Lecce,5,-1,-1,0.48256423424100475,21,5.83,5.64,0,0,0,0,0,,6,1,0,24,6.17,6.15,0,0,0,0,3,,3,0,0
D,Veiga D.,Lecce,6,-1,-1,0.5738811092462237,36,5.82,5.69,0,0,0,0,0,,9,0,0,11,5.73,5.73,0,0,0,0,0,,0,0,0
D,Olivera,Napoli,5,-1,-1,0.5250866337667109,22,5.75,5.68,0,0,0,0,0,,3,0,0,30,6.08,6.05,0,0,0,0,4,,4,0,0
D,Rensch,Roma,4,1,1,0.5926144146378209,19,6.16,6.5,1,0,0,0,4,,1,0,0,8,6.06,6.19,0,0,0,0,0,,0,0,0
,Pedersen,,,1,1,False,28,5.84,5.96,1,0,0,0,2,,3,0,0,23,5.61,5.54,0,0,0,0,3,,3,0,0
D,Calvani,Frosinone,5,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Mitaj,Genoa,4,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
,Delli Carri,,,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Lucchesi,Monza,3,,,0. N.D,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0
D,Birindelli,Monza,4,,,0. N.D,,,,,,,,,,,,,20,5.95,6.35,3,0,0,0,2,,2,0,0
D,Comert,Torino,4,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Halhal,Venezia,3,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Correia T.,Venezia,5,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
,Zappa,,,1,-1,False,25,5.9,5.98,0,0,0,0,3,,2,0,0,36,5.75,5.86,2,0,0,0,4,,4,0,0
