id,stagione,squadra,ruolo,minuti,pg,mv,mf,gf,gs,rp,rc,rpiu,rmeno,ass,amm,esp,au
4465,2025-26,Fiorentina,C,2588,33,6.03,6.23,2,0,0,0,0,0,3,5,0,0
4479,2024-25,Torino,C,1032,13,6.12,7.04,4,0,0,0,0,0,0,0,0,0
4479,2025-26,Napoli,C,1791,28,5.8,5.96,1,0,0,0,0,0,3,3,0,0
4502,2024-25,Lecce,D,2624,31,5.79,5.65,0,0,0,0,0,0,2,3,1,2
4502,2025-26,Lecce,D,3063,37,5.95,5.99,0,0,0,0,0,0,3,3,0,0
4510,2024-25,Milan,A,2329,34,6.19,7.06,8,0,0,0,0,0,8,5,0,0
4510,2025-26,Milan,A,1874,28,5.88,6.86,9,0,0,2,2,0,3,5,0,0
4518,2025-26,Sassuolo,P,,0,0,0,0,0,0,0,0,0,0,0,0,0
4657,2024-25,Roma,D,2270,30,5.78,5.77,0,0,0,0,0,0,2,5,0,0
4657,2025-26,Roma,D,2747,32,6.17,6.27,1,0,0,0,0,0,2,2,1,0
4686,2024-25,Milan,C,2516,34,6.03,6.22,1,0,0,0,0,0,6,5,0,0
4686,2025-26,Milan,C,2231,33,5.85,6.06,2,0,0,0,0,0,3,4,0,0
4728,2025-26,Milan,A,1343,26,5.94,6.87,7,0,0,5,5,0,3,0,0,0
4734,2024-25,Bologna,D,2271,29,6.05,6.16,0,0,0,0,0,0,6,4,1,0
4734,2025-26,Bologna,D,2576,31,6,6.1,1,0,0,0,0,0,3,6,0,0
4751,2024-25,Milan,D,1590,18,5.86,5.81,0,0,0,0,0,0,1,2,1,0
4751,2025-26,Milan,D,2572,32,5.97,5.88,0,0,0,0,0,0,1,6,1,0
4772,2024-25,Roma,D,3182,38,6.14,6.32,2,0,0,0,0,0,1,1,0,0
4772,2025-26,Roma,D,427,6,5.83,5.67,0,0,0,0,0,0,0,2,0,0
4777,2024-25,Napoli,C,2938,34,6.56,7.66,12,0,0,0,0,0,3,3,0,0
4777,2025-26,Napoli,C,2798,33,6.39,7.26,10,0,0,1,0,1,2,1,0,0
4807,2024-25,Roma,D,228,4,5.12,4.88,0,0,0,0,0,0,0,0,1,0
4807,2025-26,Roma,D,2106,27,6.17,6.41,3,0,0,0,0,0,2,9,0,0
4856,2024-25,Milan,C,910,16,6.09,6.78,3,0,0,0,0,0,2,0,0,0
4856,2025-26,Milan,C,23,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0
4867,2024-25,Monza,P,2678,30,6.3,4.75,0,52,2,0,0,0,0,1,0,0
4867,2025-26,Sassuolo,P,535,6,6.17,5,0,7,0,0,0,0,0,0,0,0
4870,2024-25,Cagliari,C,2416,34,5.87,5.91,1,0,0,0,0,0,1,3,1,0
4870,2025-26,Cagliari,C,3074,38,5.83,5.88,1,0,0,0,0,0,1,4,0,0
4871,2024-25,Inter,A,2316,32,6.33,7.75,14,0,0,0,0,0,4,1,0,0
4871,2025-26,Inter,A,1933,29,6.43,7.95,13,0,0,0,0,0,6,2,0,0
4887,2024-25,Atalanta,D,2505,35,6.04,6.26,0,0,0,0,0,0,9,3,0,0
4887,2025-26,Atalanta,D,1374,22,5.82,5.82,0,0,0,0,0,0,1,2,0,0
4892,2024-25,Roma,C,1510,22,6.39,7.36,7,0,0,0,0,0,3,5,0,0
4892,2025-26,Milan,C,2819,35,6.14,6.41,3,0,0,0,0,0,3,5,0,0
4896,2024-25,Atalanta,C,1574,27,6.02,6.59,6,0,0,0,0,0,0,5,0,0
4896,2025-26,Lazio,C,944,18,5.94,6.31,2,0,0,0,0,0,1,1,0,0
4911,2024-25,Juventus,C,491,15,5.87,5.8,0,0,0,0,0,0,0,2,0,0
4911,2025-26,Juventus,C,,0,0,0,0,0,0,0,0,0,0,0,0,0
4923,2024-25,Empoli,A,,36,5.9,6.39,6,0,0,1,1,0,2,3,1,0
4923,2025-26,Genoa,A,,37,5.92,6.41,7,0,0,2,1,1,1,2,0,0
4925,2024-25,Monza,D,2209,26,5.63,5.62,0,0,0,0,0,0,2,5,0,0
4929,2024-25,Cagliari,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4929,2025-26,Cagliari,P,,0,0,0,0,0,0,0,0,0,0,0,0,0
4947,2024-25,Atalanta,C,959,23,6.13,6.72,4,0,0,0,0,0,2,1,0,0
4947,2025-26,Fiorentina,C,1018,18,5.97,6.31,2,0,0,0,0,0,1,2,0,0
4957,2024-25,Verona,P,3240,36,6.19,4.44,0,64,1,0,0,0,0,0,0,1
4957,2025-26,Verona,P,3150,35,6.2,4.94,0,54,3,0,0,0,1,0,0,0
4970,2024-25,Genoa,C,832,16,6,6.03,1,0,0,1,0,1,1,1,0,0
4970,2025-26,Genoa,C,655,19,6.18,6.68,3,0,0,1,1,0,1,1,0,0
