id,nome,prezzo_medio_per_1000,mediana_per_1000,p25,p75,n_campioni,partecipanti,fonte
5877,CARLOS AUGUSTO,8.7,,,,,,tabella_prezzi_medi_asta_seed
5878,COLPANI,10.1,,,,,,tabella_prezzi_medi_asta_seed
5880,CIURRIA,2.3,,,,,,tabella_prezzi_medi_asta_seed
5882,MOTA,3.3,,,,,,tabella_prezzi_medi_asta_seed
5885,DODÒ,8.200000000000001,,,,,,tabella_prezzi_medi_asta_seed
5888,CASADEI,13.4,,,,,,tabella_prezzi_medi_asta_seed
5918,SULEMANA K.,2.3,,,,,,tabella_prezzi_medi_asta_seed
5946,SOW,2.7,,,,,,tabella_prezzi_medi_asta_seed
5951,KOLO MUANI,257.1,,,,,,tabella_prezzi_medi_asta_seed
5982,SPENCE,41.300000000000004,,,,,,tabella_prezzi_medi_asta_seed
5994,EBOSSE,2.2,,,,,,tabella_prezzi_medi_asta_seed
5995,DE KETELAERE,82.5,,,,,,tabella_prezzi_medi_asta_seed
5998,ZERBIN,2.4,,,,,,tabella_prezzi_medi_asta_seed
6005,ILKHAN,2.2,,,,,,tabella_prezzi_medi_asta_seed
6010,FAZZINI,9.9,,,,,,tabella_prezzi_medi_asta_seed
6015,BERISHA M.,2.6,,,,,,tabella_prezzi_medi_asta_seed
6020,ELLERTSSON,2.4,,,,,,tabella_prezzi_medi_asta_seed
6021,ABANKWAH,2.2,,,,,,tabella_prezzi_medi_asta_seed
6024,SULEMANA I.,1.9,,,,,,tabella_prezzi_medi_asta_seed
6039,CABAL,2,,,,,,tabella_prezzi_medi_asta_seed
6042,LUCUMÌ,18.700000000000003,,,,,,tabella_prezzi_medi_asta_seed
6046,HIEN,3.4,,,,,,tabella_prezzi_medi_asta_seed
6052,HOJLUND,286.9,,,,,,tabella_prezzi_medi_asta_seed
6054,MORO N.,2.2,,,,,,tabella_prezzi_medi_asta_seed
6060,LAURIENTÈ,66.4,,,,,,tabella_prezzi_medi_asta_seed
6145,NGONGE,3.2,,,,,,tabella_prezzi_medi_asta_seed
6149,CARBONI F.,1.9,,,,,,tabella_prezzi_medi_asta_seed
