id,titolarita,accordo,presenze_web,fonti,ballottaggio_con,ballottaggio_pct,rigorista,stato,rientro_stimato,partite_saltate,fuori_lista
6827,0.4,0.2,20.9,1,7625,38,,,,,0
6831,0.2,0.6,16.6,1,536|7351,10|,,,,,0
6833,0.22,0.56,18.0,1,,,,,,,0
6844,0.62,0.24,24.4,3,4371,65,,,,,0
6867,1.0,1.0,30.4,4,7414,42,,,,,0
6869,1.0,1.0,30.4,4,,,,,,,0
6875,1.0,1.0,30.4,4,,,2,,,,0
6883,0.057,0.886,14.4,1,,,,,,,0
6884,1.0,1.0,30.4,5,,,,,,,0
6889,0.0,1.0,0.0,0,,,,,,,1
6890,0.2,0.6,16.8,1,,,,,,,0
6892,1.0,1.0,30.4,4,,,,,,,0
6893,0.16,0.68,16.1,1,,,,,,,0
6895,0.16,0.68,17.0,1,,,,,,,0
6896,0.8,0.6,27.0,4,,,,,,,0
6898,1.0,1.0,30.4,4,,,,,,,0
6903,0.08,0.84,15.8,1,,,,,,,0
6904,0.82,0.64,27.1,4,,,,,,,0
6908,0.7,0.4,25.6,4,,,,,,,0
6916,0.0,1.0,0.0,0,,,,,,,1
6917,0.8,0.6,27.2,3,,,,,,,0
6925,0.0,1.0,13.0,0,4263,41,,problema muscolare all adduttore,2026-09-15,1,0
6956,0.971,0.943,29.1,5,,,2,problema muscolare alla gamba,2026-09-18,1,0
6966,1.0,1.0,34.1,4,,,,,,,0
6967,1.0,1.0,30.1,4,,,,,,,0
6977,0.14,0.72,15.8,1,,,,,,,0
6980,0.0,1.0,12.6,0,,,,operato al tendine rotuleo,2026-10-27,5,0
6981,0.0,1.0,0.0,0,,,,,,,1
6984,0.0,1.0,0.0,0,,,,,,,1
6985,0.0,1.0,13.0,0,,,,rottura del legamento crociato anteriore,2026-09-15,1,0
6986,0.14,0.72,15.8,1,,,,,,,0
6989,0.943,0.886,29.4,5,,,,,,,0
6990,0.971,0.943,29.9,5,,,,,,,0
6994,0.6,0.2,24.0,2,5319,54,,,,,0
7001,0.314,0.371,18.5,2,7619,45,,,,,0
7008,0.0,1.0,0.0,0,,,,,,,1
7012,0.829,0.657,27.5,4,,,,,,,0
7014,0.22,0.56,17.1,1,,,,,,,0
7017,0.6,0.2,23.3,2,2097,46,3,,,,0
7023,0.8,0.6,26.7,3,5694,51,3,,,,0
7027,0.0,1.0,0.0,0,,,,,,,1
7036,0.82,0.64,27.5,4,6677,65,,noie fisiche,2026-09-11,0,0
7048,0.004,0.992,2.4,1,,,,,,,0
7060,0.8,0.6,27.2,3,7220,71,,,,,0
7068,0.14,0.72,15.8,1,,,,,,,0
7069,0.6,0.2,23.6,2,,,,,,,0
7070,0.4,0.2,20.9,1,152,,,,,,0
7071,0.4,0.2,20.0,1,4871,,,,,,0
7078,1.0,1.0,30.4,4,,,1,,,,0
7092,0.1,0.8,16.1,1,,,,,,,0
7120,0.22,0.56,16.9,1,,,,,,,0
7125,0.0,1.0,11.6,0,,,,rottura del legamento crociato,2026-10-27,5,0
7126,1.0,1.0,30.4,4,,,,,,,0
7127,0.0,1.0,14.1,0,,,,rottura del tendine d Achille,2026-09-18,1,0
7128,0.0,1.0,0.0,0,,,,,,,1
7129,0.24,0.52,18.3,1,,,,,,,0
