ruolo,nome,squadra,qt_fanta,ia,fascia_o_valore,note,sos,accoppiata,fv,pg,media,fmedia,gol,ass,amm,gol_subiti,p_med_aste,p_stat,p_gol_m,tr_media,tr_gol,id_ufficiale,fvm,eta
D,Couto,Como,8,70.48,Terza,Scommessa,Bonus,Fiorentina Frosinone Genoa,,,,,,,,,6.7749999999999995, Prezzo N.D.,,,,6727,25,24
D,Theate,Bologna,8,70.48,Quarta,Titolare,Bonus,Atalanta Lecce Napoli,,,,,,,,,1.625, Prezzo N.D.,,,,5675,20,26
D,Diego Carlos,Parma,8,70.48,Quarta,Cartellini,Mod.,Lecce Sassuolo Milan,,,,,,,,,1.175, Prezzo N.D.,,,,4137,26,33
D,Hien,Atalanta,7,68.81,Scommessa,Cartellini,Mod.,Frosinone Bologna Cagliari,0.5857066273489531,28,5.91,5.86,1,0,5,,0.85,3.5264663899396274,1.8314703353396389,1,1,6046,11,27
D,Lucumì,Juventus,7,68.81,jolly,Mod.,Cartellini,Torino Genoa Roma,0.5855828767539982,28,5.88,5.89,1,0,5,,4.675000000000001,3.5257213030762293,1.8314703353396389,1,1,6042,17,28
D,Zortea,Bologna,7,68.81,Quarta,Mod.,Jolly,Atalanta Lecce Napoli,0.5759241041540493,28,5.86,5.89,0,2,2,,1.975,3.4675670405985115,0,-1,-1,4433,19,27
D,Mina,Cagliari,7,68.81,Quarta,Titolare,Bonus,Atalanta Fiorentina Venezia,0.6016262816657514,26,6,6.17,2,1,3,,2.2,3.622316638624281,3.6629406706792778,1,1,4210,20,32
D,Obert,Cagliari,7,68.81,Quarta,Cartellini,Titolare,Atalanta Fiorentina Venezia,0.5569451005934076,34,5.88,5.82,0,3,8,,1.05,3.353296832535333,0,-1,-1,5701,15,24
D,Dragusin,Fiorentina,7,68.81,,,,Cagliari Como Lazio,0. N.D,,,,,,,,4.025, Prezzo N.D.,,,,5365,20,24
D,Jimenez A.,Fiorentina,7,68.81,Semi-Top,,Cartellini,Cagliari Como Lazio,0.39827442237196997,1,5.5,5,0,0,1,,5.175,2.3979605127988344,0,-1,-1,6531,18,21
