id,nome,squadra,ruolo,fonti_squadra,peso_titolare,titolarita_web,accordo,presenze_web,fonti_che_lo_schierano,ballottaggio_con,ballottaggio_id,ballottaggio_pct,rigorista_web,rigorista_fonti,stato,rientro_stimato,partite_saltate,fuori_lista
2169,Rodriguez R.,Torino,D,5.0,1.0,0.2,0.6,16.8,1,,,,,0,,,,0
2170,Milinkovic-Savic V.,Napoli,P,5.0,0.1,0.02,0.96,2.9,1,,,,,0,,,,0
2188,Marusic,Lazio,D,7.0,3.0,0.429,0.143,19.6,3,,,,,0,lesione muscolare alla coscia,2026-10-05,2,0
2194,Calhanoglu,Inter,C,5.0,4.2,0.84,0.68,27.9,4,,,,1,2,,,,0
2263,Lazzari,Lazio,D,7.0,0.8,0.114,0.771,15.3,1,Floriani Mussolini,7131,,,0,,,,0
2296,Mancini,Roma,D,5.0,5.0,1.0,1.0,30.4,4,,,,,0,,,,0
2297,Rossi F.,Atalanta,P,5.0,0.0,0.0,1.0,2.3,0,,,,,0,,,,0
2379,Rabiot,Milan,C,7.0,7.0,1.0,1.0,30.4,5,Loftus-Cheek|Saelemaekers,4199|4892,|,,0,,,,0
2401,Fruchtl,Lecce,P,7.0,0.0,0.0,1.0,0.0,0,,,,,0,,,,1
2423,Pulisic,Milan,C,7.0,4.0,0.571,0.143,23.6,4,Saelemaekers,4892,92,2,2,,,,0
2514,Stones,Inter,D,5.0,3.1,0.62,0.24,23.9,3,Akanji|Bisseck,4159|6217,69|,,0,,,,0
2517,De Bruyne,Napoli,C,5.0,2.2,0.44,0.12,21.5,2,Zambo Anguissa,4220,58,1,2,,,,0
2521,De Gea,Fiorentina,P,5.0,5.0,1.0,1.0,34.1,4,,,,,0,,,,0
2528,Matic,Sassuolo,C,5.0,5.0,1.0,1.0,30.4,4,,,,,0,,,,0
2529,Mkhitaryan,Inter,C,5.0,0.8,0.16,0.68,17.0,1,,,,,0,,,,0
2531,Lukaku,Napoli,A,5.0,0.0,0.0,1.0,0.0,0,,,,,0,,,,1
2593,Martin,Genoa,D,5.0,0.0,0.0,1.0,0.0,0,,,,,0,,,,1
2606,Modric,Milan,C,7.0,7.0,1.0,1.0,30.4,5,Jashari,7203,,3,1,,,,0
2640,Kolasinac,Atalanta,D,5.0,2.0,0.4,0.2,20.2,1,Bernasconi,7219,10,,0,,,,0
2724,Buongiorno,Napoli,D,5.0,0.0,0.0,1.0,10.6,0,,,,,0,operato al menisco del ginocchio destro,2026-11-15,8,0
2728,Pellegrini Lu.,Lazio,D,7.0,0.4,0.057,0.886,14.4,1,,,,,0,,,,0
2741,Pessina,Monza,C,5.0,2.0,0.4,0.2,17.0,2,,,,1,2,lussazione della rotula del ginocchio destro,2026-11-02,7,0
2764,Martinez L.,Inter,A,5.0,5.0,1.0,1.0,30.1,4,,,,2,2,,,,0
2765,Odgaard,Bologna,C,5.0,3.0,0.6,0.2,24.0,2,,,,,0,,,,0
2766,Zaniolo,Udinese,C,7.0,3.0,0.429,0.143,20.2,3,,,,3,2,lesione al bicipite femorale della coscia destra,2026-09-28,2,0
2788,Bremer,Juventus,D,7.0,7.0,1.0,1.0,30.4,5,,,,,0,,,,0
2809,Vigorito,Como,P,5.0,0.02,0.004,0.992,2.4,1,,,,,0,,,,0
2814,Provedel,Inter,P,5.0,0.1,0.02,0.96,2.9,1,,,,,0,,,,0
2815,Terracciano,Milan,P,7.0,0.1,0.014,0.971,2.8,1,,,,,0,,,,0
2816,Di Lorenzo,Napoli,D,5.0,5.0,1.0,1.0,30.4,4,,,,,0,,,,0
2832,Boga,Juventus,A,7.0,4.2,0.6,0.2,23.3,3,Alajbegovic,7436,,,0,sospetto stiramento del flessore della coscia,2026-09-11,0,0
2845,Contini,Napoli,P,5.0,0.02,0.004,0.992,2.4,1,,,,,0,,,,0
2848,Frattesi,Lazio,C,7.0,6.8,0.971,0.943,29.9,5,,,,,0,,,,0
2857,Traorè Hj.,Genoa,C,5.0,0.7,0.14,0.72,16.7,1,Baldanzi,5823,,,0,,,,0
2874,Ghidotti,Parma,P,5.0,0.02,0.004,0.992,2.4,1,,,,,0,,,,0
4137,Diego Carlos,Parma,D,5.0,5.0,1.0,1.0,30.4,4,,,,,0,,,,0
4147,Caleta-Car,Sassuolo,D,5.0,0.7,0.14,0.72,15.8,1,,,,,0,,,,0
4159,Akanji,Inter,D,5.0,5.0,1.0,1.0,30.4,4,Stones,2514,96,,0,,,,0
4177,Pavard,Inter,D,5.0,1.1,0.22,0.56,17.1,1,,,,,0,,,,0
4179,Gonzalez N.,Juventus,C,7.0,4.0,0.571,0.143,23.6,2,,,,,0,,,,0
4199,Loftus-Cheek,Milan,C,7.0,1.2,0.171,0.657,17.2,1,Rabiot,2379,,,0,,,,0
4210,Mina,Cagliari,D,7.0,3.0,0.429,0.143,20.7,3,,,,2,1,,,,0
4220,Zambo Anguissa,Napoli,C,5.0,4.0,0.8,0.6,27.2,3,De Bruyne,2517,65,,0,,,,0
4236,Muric,Sassuolo,P,5.0,5.0,1.0,1.0,34.1,4,,,,,0,,,,0
4260,Winks,Cagliari,C,7.0,6.8,0.971,0.943,29.9,5,,,,,0,,,,0
4263,Kabasele,Udinese,D,7.0,6.6,0.943,0.886,29.4,5,Palma,6925,95,,0,,,,0
4287,Lobotka,Napoli,C,5.0,5.0,1.0,1.0,30.4,4,,,,,0,,,,0
4312,Maignan,Milan,P,7.0,7.0,1.0,1.0,34.1,5,,,,,0,,,,0
4317,N'Dicka,Roma,D,5.0,5.0,1.0,1.0,30.4,4,,,,,0,,,,0
4349,Nicolussi Caviglia,Parma,C,5.0,0.0,0.0,1.0,11.4,0,,,,,0,"lesione alla coscia destra, operato",2026-11-10,8,0
4359,Piccoli,Bologna,A,5.0,3.0,0.6,0.2,23.3,2,Dovbyk,6675,,,0,,,,0
4360,Caprile,Cagliari,P,7.0,6.8,0.971,0.943,33.2,5,,,,,0,,,,0
4364,Gaetano,Atalanta,C,5.0,5.0,1.0,1.0,30.4,4,,,,,0,,,,0
4371,Raspadori,Atalanta,A,5.0,2.2,0.44,0.12,20.6,2,Rowe,6844,40,,0,,,,0
4374,Walukiewicz,Sassuolo,D,5.0,1.0,0.2,0.6,16.4,1,,,,,0,trauma contusivo alla gamba destra,2026-09-18,1,0
4375,Terzic,Frosinone,D,5.0,1.8,0.36,0.28,19.5,2,,,,,0,,,,0
4378,Ranieri L.,Fiorentina,D,5.0,0.8,0.16,0.68,16.1,1,,,,,0,,,,0
4387,Adorante,Venezia,A,5.0,0.0,0.0,1.0,12.5,0,,,,3,1,operato alla schiena,2026-10-10,2,0
4401,Gabbia,Milan,D,7.0,2.0,0.286,0.429,18.3,2,,,,,0,fastidio alla caviglia,2026-09-11,0,0
4409,Rrahmani,Napoli,D,5.0,5.0,1.0,1.0,30.4,4,,,,,0,,,,0
4431,Carnesecchi,Atalanta,P,5.0,5.0,1.0,1.0,34.1,4,,,,,0,,,,0
4433,Zortea,Bologna,D,5.0,4.1,0.82,0.64,27.3,4,Holm,5678,62,,0,,,,0
4436,Cambiaghi,Bologna,C,5.0,5.0,1.0,1.0,30.4,4,,,,,0,,,,0
4459,Rovella,Lazio,C,7.0,3.0,0.429,0.143,20.2,3,,,,,0,lesione muscolare al polpaccio,2026-10-10,2,0
4461,Zappa,Cagliari,D,7.0,0.0,0.0,1.0,0.0,0,,,,,0,,,,1
4463,Esposito Se.,Sassuolo,A,5.0,2.2,0.44,0.12,20.6,2,Bowie,7347,,2,2,,,,0
